hz,v_rms_per_rthz
1022.00,1.0663e-06
1023.00,1.1849e-06
1024.00,1.1452e-06
1025.00,1.0880e-06
1026.00,9.3526e-07
1027.00,1.1091e-06
1028.00,9.6839e-07
1029.00,8.9734e-07
1030.00,1.2334e-06
1031.00,7.9510e-07
1032.00,1.0474e-06
1033.00,9.7250e-07
1034.00,9.9687e-07
1035.00,1.0826e-06
1036.00,8.9771e-07
1037.00,1.1487e-06
1038.00,1.1328e-06
1039.00,9.5698e-07
1040.00,1.1045e-06
1041.00,9.5495e-07
1042.00,8.9474e-07
1043.00,9.0397e-07
1044.00,9.1798e-07
1045.00,9.8631e-07
1046.00,9.1383e-07
1047.00,9.6851e-07
1048.00,1.0143e-06
1049.00,8.8789e-07
1050.00,1.0413e-06
1051.00,1.0748e-06
1052.00,1.1768e-06
1053.00,9.5342e-07
1054.00,8.9381e-07
1055.00,9.6625e-07
1056.00,9.8782e-07
1057.00,9.5592e-07
1058.00,1.0774e-06
1059.00,8.1794e-07
1060.00,9.0886e-07
1061.00,1.0380e-06
1062.00,1.1894e-06
1063.00,7.7152e-07
1064.00,1.0256e-06
1065.00,1.1051e-06
1066.00,1.0257e-06
1067.00,1.0604e-06
1068.00,1.0530e-06
1069.00,8.3926e-07
1070.00,8.7940e-07
1071.00,1.0177e-06
1072.00,9.9885e-07
1073.00,8.6017e-07
1074.00,9.7490e-07
1075.00,8.0653e-07
1076.00,1.0056e-06
1077.00,1.1770e-06
1078.00,1.0839e-06
1079.00,1.0026e-06
1080.00,1.2436e-06
1081.00,1.0526e-06
1082.00,1.0392e-06
1083.00,9.0335e-07
1084.00,9.0801e-07
1085.00,1.0073e-06
1086.00,9.5398e-07
1087.00,9.8284e-07
1088.00,8.1704e-07
1089.00,8.1970e-07
1090.00,9.7422e-07
1091.00,1.1374e-06
1092.00,8.1136e-07
1093.00,8.8034e-07
1094.00,1.0220e-06
1095.00,6.8955e-07
1096.00,8.7023e-07
1097.00,8.3882e-07
1098.00,1.0232e-06
1099.00,1.0162e-06
1100.00,8.2178e-07
1101.00,9.6530e-07
1102.00,8.4279e-07
1103.00,9.1363e-07
1104.00,8.2596e-07
1105.00,8.3009e-07
1106.00,7.1574e-07
1107.00,9.0351e-07
1108.00,9.5991e-07
1109.00,9.2485e-07
1110.00,9.7514e-07
1111.00,8.2691e-07
1112.00,1.0523e-06
1113.00,9.0256e-07
1114.00,8.6445e-07
1115.00,9.7535e-07
1116.00,1.0467e-06
1117.00,9.0098e-07
1118.00,1.0038e-06
1119.00,1.0001e-06
1120.00,9.8465e-07
1121.00,7.9072e-07
1122.00,9.0372e-07
1123.00,1.1516e-06
1124.00,1.0813e-06
1125.00,9.6937e-07
1126.00,9.8764e-07
1127.00,8.8090e-07
1128.00,1.1418e-06
1129.00,9.1209e-07
1130.00,7.9251e-07
1131.00,1.0906e-06
1132.00,9.2962e-07
1133.00,9.9362e-07
1134.00,1.0041e-06
1135.00,1.1395e-06
1136.00,8.7367e-07
1137.00,1.0368e-06
1138.00,9.5393e-07
1139.00,7.6761e-07
1140.00,1.1812e-06
1141.00,9.5007e-07
1142.00,9.9202e-07
1143.00,8.3010e-07
1144.00,8.1595e-07
1145.00,1.1112e-06
1146.00,1.0162e-06
1147.00,9.7287e-07
1148.00,1.0429e-06
1149.00,9.3592e-07
1150.00,9.3256e-07
